name,email,jurisdiction__slug,address,contact,url,classification,tags,request_note,website_dump,description,parent__name
StuRa Universität Freiburg,info@stura.uni-freiburg.de,baden-wurttemberg,"Belfortstr. 24, 79098 Freiburg","Tel. 0761 / 203 - 2032, Fax 0761 / 203 - 2034",https://www.stura.uni-freiburg.de/,AStA,,,,,
StuRa Tübingen,ga@stura-tuebingen.de,baden-wurttemberg,"Wilhelmstraße 30, 72074 Tübingen",,https://www.stura-tuebingen.de/,AStA,,,,,
AStA der Dualen Hochschule Baden-Württemberg,asta@dhbw.de,baden-wurttemberg,"Friedrichstraße 14, 70174 Stuttgart","Tel. 0711 / 320 660-42, Fax 0711 / 320 660-66",http://asta.dhbw.de/,AStA,,,,,
Verfasste Studierendenschaft der Pädagogischen Hochschule Freiburg,vs@ph-freiburg.com,baden-wurttemberg,"Kunzenweg 21, 79117 Freiburg",Tel. 0761/682-618,https://www.ph-freiburg.de/de/hochschule/weitere-einrichtungen/verfasste-studierendenschaft/startseite.html,AStA,,,,,
Studierendenparlament der Pädagogischen Hochschule Heidelberg,stupa@ph-heidelberg.net,baden-wurttemberg,"Keplerstraße 87, 69120 Heidelberg",Tel. 06221 - 477 410,http://stupa.ph-heidelberg.net/,AStA,,,,,
StuVe der Pädagogischen Hochschule Karlsruhe,stuve@ph-karlsruhe.de,baden-wurttemberg,"Bismarckstr. 10, 76133 Karlsruhe",Tel. 0721 925-4075,http://phka-stuve.de/,AStA,,,,,
AStA PH Ludwigsburg,mail@asta-phlb.de,baden-wurttemberg,"Reuteallee 46, 71634 Ludwigsburg",Tel. 07141/140-425,http://www.asta-phlb.de/,AStA,,,,,
AStA PH Schwäbisch Gmünd,asta@ph-gmuend.de,baden-wurttemberg,"Oberbettringer Straße 200, 73525 Schwäbisch Gmünd","Tel. 07171/983-313, Fax 07171/983-212",http://www.meine-ph.de/index.php?id=16,AStA,,,,,
AStA PH Weingarten,asta@ph-weingarten.de,baden-wurttemberg,"St. Longinus-Str. 1, 88250 Weingarten",Tel. 0751 501-8231,http://www.ph-weingarten.de/vs,AStA,,,,,
Studierendenrat der Universität Heidelberg,stura@stura.uni-heidelberg.de,baden-wurttemberg,"Albert-Ueberle-Straße 3-5, 69120 Heidelberg","Tel. (06221) 54-2456, Fax (06221) 54-2457",https://www.stura.uni-heidelberg.de,AStA,,,,,
