other_names,name,email,url,jurisdiction__slug,address,contact,classification,tags,request_note,website_dump,description,parent__name
,Ärztekammer Baden-Württemberg,info@laek-bw.de,http://www.aerztekammer-bw.de/,baden-wurttemberg,,,Kammer,,,,,
,Notarkammer Baden-Württemberg,notarkammer.baden-wuerttemberg@notarnet.de,http://www.notarkammer-baden-wuerttemberg.de/,baden-wurttemberg,,,Kammer,,,,,
,Psychotherapeutenkammer Baden-Württemberg,info@lpk-bw.de,www.lpk-bw.de,baden-wurttemberg,,,Kammer,,,,,
,Rechtsanwaltskammer Tübingen,info@rak-tuebingen.de,www.rak-tuebingen.de,baden-wurttemberg,,,Kammer,,,,,
,Rechtsanwaltskammer Zweibrücken,zentrale@rak-zw.de,www.rak-zw.de,baden-wurttemberg,,,Kammer,,,,,
,Tierärztekammer Baden-Württemberg,info@ltk-bw.de,http://www.ltk-bw.de,baden-wurttemberg,,,Kammer,,,,,
,Zahnärztekammer Baden-Württemberg,info@lzk-bw.de,http://www.lzkbw.de/,baden-wurttemberg,,,Kammer,,,,,
HWK Augsburg/Schwaben,Handwerkskammer Augsburg/Schwaben,uwagner@hwk-schwaben.de,,baden-wurttemberg,,,Kammer,,,,,
HWK Bayreuth/Oberfranken,Handwerkskammer Bayreuth/Oberfranken,horst.eggers@hwk-oberfranken.de,,baden-wurttemberg,,,Kammer,,,,,
HWK Hildesheim-Südniedersachsen,Handwerkskammer Hildesheim-Südniedersachsen,hgf@hwk-hildesheim.de,,baden-wurttemberg,,,Kammer,,,,,
HWK Region Stuttgart,Handwerkskammer Region Stuttgart,claus.munkwitz@hwk-stuttgart.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Augsburg,Industrie- und Handelskammer Augsburg,info@schwaben.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Freiburg / südl. Oberrhein,Industrie- und Handelskammer Freiburg / südl. Oberrhein,andreas.kempff@freiburg.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Fulda,Industrie- und Handelskammer Fulda,birkemeyer@fulda.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Heidenheim / Ostwürttemberg,Industrie- und Handelskammer Heidenheim / Ostwürttemberg,gring@ostwuerttemberg.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Konstanz / Hochrhein-Bodensee,Industrie- und Handelskammer Konstanz / Hochrhein-Bodensee,magdalena.riedmann@konstanz.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Mannheim / Rhein-Neckar,Industrie- und Handelskammer Mannheim / Rhein-Neckar,christa.bender@rhein-neckar.ihk24.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Pforzheim / Nordschwarzwald,Industrie- und Handelskammer Pforzheim / Nordschwarzwald,hasch@pforzheim.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Reutlingen,Industrie- und Handelskammer Reutlingen,heise@reutlingen.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Villingen – Schwarzwald-Baar-Heuberg,Industrie- und Handelskammer Villingen – Schwarzwald-Baar-Heuberg,beck@villingen-schwenningen.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Weingarten / Bodensee-Oberschwaben,Industrie- und Handelskammer Weingarten / Bodensee-Oberschwaben,gerstenkorn@weingarten.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
IHK Wuppertal,Industrie- und Handelskammer Wuppertal,t.waengler@wuppertal.ihk.de,,baden-wurttemberg,,,Kammer,,,,,
,Apothekerkammer Bayern,geschaeftsstelle​@blak.aponet.de,www.blak.de,bayern,,,Kammer,,,,,
,Architektenkammer Bayern,info@byak.de,www.byak.de,bayern,,,Kammer,,,,,
,Ärztekammer Bayern,info@blaek.de,http://www.blaek.de/,bayern,,,Kammer,,,,,
,Ingenieurkammer Bayern,info@bayika.de,http://www.bayika.de/,bayern,,,Kammer,,,,,
,Notarkammer Bayern,notarkammer@notarkasse.de,http://www.notare.bayern.de/,bayern,,,Kammer,,,,,
,Psychotherapeutenkammer Bayern,info@ptk-bayern.de,www.ptk-bayern.de,bayern,,,Kammer,,,,,
,Rechtsanwaltskammer Bamberg,info@rakba.de,www.rakba.de,bayern,,,Kammer,,,,,
,Tierärztekammer Bayern,kontakt@bltk.de,http://www.bltk.de,bayern,,,Kammer,,,,,
,Zahnärztekammer Bayern,blzk@blzk.de,http://www.blzk.de/,bayern,,,Kammer,,,,,
HWK Nürnberg/Mittelfranken,Handwerkskammer Nürnberg/Mittelfranken,info@hwk-mittelfranken.de,,bayern,,,Kammer,,,,,
HWK Würzburg/Unterfranken,Handwerkskammer Würzburg/Unterfranken,r.lauer@hwk-ufr.de,,bayern,,,Kammer,,,,,
IHK Arnsberg,Industrie- und Handelskammer Arnsberg,ihk@arnsberg.ihk.de,,bayern,,,Kammer,,,,,
IHK Aschaffenburg,Industrie- und Handelskammer Aschaffenburg,heinbuecher@aschaffenburg.ihk.de,,bayern,,,Kammer,,,,,
IHK Bayreuth,Industrie- und Handelskammer Bayreuth,degen@bayreuth.ihk.de,,bayern,,,Kammer,,,,,
IHK Coburg,Industrie- und Handelskammer Coburg,patricia.leistner-wolf@coburg.ihk.de,,bayern,,,Kammer,,,,,
IHK Würzburg-Schweinfurt,Industrie- und Handelskammer Würzburg-Schweinfurt,ferend@wuerzburg.ihk.de,,bayern,,,Kammer,,,,,
,Ingenieurkammer Berlin,info@baukammerberlin.de,http://www.baukammerberlin.de/,berlin,,,Kammer,,,,,
,Notarkammer Berlin,info@notarkammer-berlin.de,http://www.notarkammer-berlin.de/,berlin,,,Kammer,,,,,
,Psychotherapeutenkammer Berlin,info@psychotherapeutenkammer-berlin.de,www.psychotherapeutenkammer-berlin.de,berlin,,,Kammer,,,,,
,Architektenkammer Brandenburg,info@ak-brandenburg.de,http://www.ak-brandenburg.de/,brandenburg,,,Kammer,,,,,
,Ärztekammer Brandenburg,post@laekb.de,http://www.laekb.de/homepage/index.html,brandenburg,,,Kammer,,,,,
,Ingenieurkammer Brandenburg,info@bbik.de,http://www.bbik.de/,brandenburg,,,Kammer,,,,,
