other_names,name,email,url,jurisdiction__slug,address,contact,classification,tags,request_note,website_dump,description,parent__name
,Bayerischer Bauernverband,Kontakt@BayerischerBauernVerband.de,http://www.bayerischerbauernverband.de/,byern,,,Kammer,,,,,
,Apothekerkammer Bayern,geschaeftsstelle​@blak.aponet.de,www.blak.de,bayern,,,Kammer,,,,,
,Apothekerkammer Hessen,info@apothekerkammer.de,http://www.apothekerkammer.de,hessen,,,Kammer,,,,,
,Apothekerkammer Mecklenburg-Vorpommern,info@akmv.de,http://www.akmv.de,mecklenburg-vorpommern,,,Kammer,,,,,
,Apothekerkammer Niedersachsen,info@apothekerkammer-nds.de,http://www.apothekerkammer-niedersachsen.de,niedersachsen,,,Kammer,,,,,
,Apothekerkammer Nordrhein,info@aknr.de,http://www.aknr.de,nrw,,,Kammer,,,,,
,Apothekerkammer Sachsen-Anhalt,kammer@ak-sa.de,http://www.ak-sa.de,sachsen-anhalt,,,Kammer,,,,,
,Apothekerkammer Schleswig-Holstein,geschaeftsstelle@ak-sh.aponet.de,http://www.apothekerkammer-schleswig-holstein.de,schleswig-holstein,,,Kammer,,,,,
,Apothekerkammer Thüringen,info@lakt.de,http://www.lak-thueringen.de,thueringen,,,Kammer,,,,,
,Apothekerkammer Westfalen-Lippe,info@akwl.de,http://www.akwl.de,nrw,,,Kammer,,,,,
,Arbeitnehmerkammer Bremen,schierenbeck@arbeitnehmerkammer.de,http://www.arbeitnehmerkammer.de/,bremen,,,Kammer,,,,,
,Arbeitskammer des Saarlandes,horst.backes@arbeitskammer.de,http://www.arbeitskammer.de/,saarland,,,Kammer,,,,,
,Architektenkammer Bayern,info@byak.de,www.byak.de,bayern,,,Kammer,,,,,
,Architektenkammer Brandenburg,info@ak-brandenburg.de,http://www.ak-brandenburg.de/,brandenburg,,,Kammer,,,,,
,Architektenkammer Bremen,info@architektenkammer-bremen.de,http://www.architektenkammer-bremen.de/,bremen,,,Kammer,,,,,
,Architektenkammer Hessen,info@akh.de Wolfgang Haack,www.AKH.de,hessen,,,Kammer,,,,,
,Architektenkammer Mecklenburg-Vorpommern,info@ak-mv.de,www.architektenkammer-mv.de,mecklenburg-vorpommern,,,Kammer,,,,,
,Architektenkammer Niedersachsen,nfo@aknds.de,www.aknds.de,niedersachsen,,,Kammer,,,,,
,Architektenkammer Nordrhein-Westfalen,info@aknw.de,http://www.aknw.de,nrw,,,Kammer,,,,,
,Architektenkammer Rheinland-Pfalz,info@diearchitekten.org,www.diearchitekten.org,rheinland-pfalz,,,Kammer,,,,,
,Architektenkammer Sachsen,dresden@aksachsen.org,www.aksachsen.org,sachsen,,,Kammer,,,,,
,Architektenkammer Schleswig-Holstein,info@aik-sh.de,www.aik-sh.de,schleswig-holstein,,,Kammer,,,,,
,Architektenkammer Thüringen,info@architekten-thueringen.de,www.architekten-thueringen.de,thueringen,,,Kammer,,,,,
,Ärztekammer Ärztekammer Sachsen-Anhalt,info@aeksa.de,http://www.aeksa.de/homepage/index.html,sachsen-anhalt,,,Kammer,,,,,
,Ärztekammer Baden-Württemberg,info@laek-bw.de,http://www.aerztekammer-bw.de/,baden-wurttemberg,,,Kammer,,,,,
,Ärztekammer Bayern,info@blaek.de,http://www.blaek.de/,bayern,,,Kammer,,,,,
,Ärztekammer Brandenburg,post@laekb.de,http://www.laekb.de/homepage/index.html,brandenburg,,,Kammer,,,,,
,Ärztekammer Bremen,info@aekhb.de,https://www.aekhb.de/,bremen,,,Kammer,,,,,
,Ärztekammer Hessen,info@laekh.de,http://www.laekh.de/,hessen,,,Kammer,,,,,
,Ärztekammer Mecklenburg-Vorpommern,info@aek-mv.de,http://www.aek-mv.de/,mecklenburg-vorpommern,,,Kammer,,,,,
,Ärztekammer Nordrhein,aerztekammer@aekno.de,http://www.aekno.de/,nrw,,,Kammer,,,,,
,Ärztekammer Rheinland-Pfalz,kammer@laek-rlp.de,http://www.laek-rlp.de,rheinland-pfalz,,,Kammer,,,,,
,Ärztekammer Schleswig-Holstein,info@aeksh.org,http://www.aeksh.de/,schleswig-holstein,,,Kammer,,,,,
,Ärztekammer Thüringen,info@laek-thueringen.de,http://www.laek-thueringen.de/wcms/DocsID/index.html,thueringen,,,Kammer,,,,,
,Ärztekammer Westfalen-Lippe,posteingang@aekwl.de,http://www.aekwl.de/,nrw,,,Kammer,,,,,
,Bundeslotsenkammer,office@bundeslotsenkammer.de,http://www.bundeslotsenkammer.de/,bund,,,Kammer,,,,,
,Bundesnotarkammer,bnotk@bnotk.de,http://www.bnotk.de,bund,,,Kammer,,,,,
