id,name,email,contact,address,url,classification,jurisdiction__slug,tags,other_names,website_dump,description,request_note,parent__name
7677,Amt proArbeit - Regionalteam Bad Oeynhausen,proarbeit-badoeynhausen@minden-luebbecke.de,"Telefon: +49 5731 30594-0
Telefax: +49 571 807-30865","Herforder Str. 47-51
32545 Bad Oeynhausen

",,jobcenter,bund,"""Arbeit und Soziales""",nrw,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
7434,Jobcenter Altmarkkreis Salzwedel,info@jobcenter-altmarkkreis.de,Telefon: 03909 4816-0,"Straße der Jugend 6 , 38486 Klötze",,jobcenter,sachsen-anhalt,"""Arbeit und Soziales""",,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
7435,Jobcenter Anhalt-Bitterfeld,info@komba-abi.de,Telefon: 03493 5168-101,"Markt 28 , 39261 Zerbst/Anhalt , (Bemerkung: Nebenstelle)",http://www.komba-abi.de,jobcenter,sachsen-anhalt,"""Arbeit und Soziales""",,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
4309,Jobcenter - Arbeit Hellweg Aktiv Soest,jobcenter-soest@jobcenter-ge.de,"Tel: 02921 / 106 500
Fax: 02921 / 106 106","Paradieser Weg 2
59494 Soest",http://www.arbeit-hellweg-aktiv.de/,jobcenter,bund,"""Arbeit und Soziales""",nrw,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
4279,Jobcenter Arbeitplus Bielefeld,info@jobcenter-arbeitplus-bielefeld.de,"Tel.: 0521.92399-0
Fax: 0521.92399-120","Willy-Brandt-Platz 2
33602 Bielefeld",http://www.arbeitplus-bi.de/,jobcenter,bund,"""Arbeit und Soziales""",nrw,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
4298,Jobcenter Arbeit und Grundsicherung Leverkusen,jobcenter-leverkusen@jobcenter-ge.de,"Tel: 0214-8339-585
Fax: 0214-8339-402","Heinrich-von-Stephan-Str. 6a
51373 Leverkusen",http://www.ag-leverkusen.de/,jobcenter,bund,"""Arbeit und Soziales""",nrw,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
11943,Jobcenter Augsburg Land,jobcenter-augsburger-land.hermanstrasse-11@jobcenter-ge.de,Tel:+49 (0)821 99888-78 Fax:+49 (0)821 99888-80,Hermanstr. 11 86150 Augsburg,http://www.arbeitsagentur.de/81110,jobcenter,bund,"""Arbeit und Soziales""",,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
11944,Jobcenter Augsburg Stadt,jobcenter-augsburg@jobcenter-ge.de,Tel:+49 (0)821 3151-700 Fax:+49 (0)821 24135-105,August-Wessels-Str. 31 u. 35 86156 Augsburg,http://www.augsburg.de/buergerservice-rathaus/buergerservice/aemter-behoerden/staedtische-beteiligungen/j/jobcenter-augsburg-stadt/,jobcenter,bund,"""Arbeit und Soziales""",,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
8833,Jobcenter Baden-Baden,jobcenter-baden-baden@jobcenter-ge.de,"Telefon: 07221/97218365, Fax: 07221/97218319",Gewerbepark Cité 176532 Baden-Baden,http://www.arbeitsagentur.de/web/content/DE/dienststellen/rdbw/karlsruherastatt/JobcenterBadenBaden/index.htm,jobcenter,bund,"""Arbeit und Soziales""",,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
4132,Jobcenter Barnim,jobcenter-barnim@jobcenter-ge.de,"Tel: 03338 7526-350
Fax: 03338 7526-477","Heinersdorfer Straße 45
D - 16321 Bernau",,jobcenter,bund,"""Arbeit und Soziales""",,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
4131,Jobcenter Barnim Standort Eberswalde,jobcenter-barnim@jobcenter-ge.de,"Tel: 03334 37-3500
Fax: 03334 37-4422","Bergerstraße 30
D - 16225 Eberswalde",,jobcenter,bund,"""Arbeit und Soziales""",,,,,
4281,Jobcenter Bochum,jobcenter-bochum@jobcenter-ge.de,"Tel.: 0234 / 58879-0
Fax: 0234 / 58879-123","Universitätsstr. 66a
44789 Bochum",,jobcenter,bund,"""Arbeit und Soziales""",,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
4282,Jobcenter Bonn,jobcenter-bonn@jobcenter-ge.de,"Tel: 0228 / 85490
Fax: 0228 / 8549391","Rochusstr. 6
53123 Bochum",http://www.job-center-bonn.de/,jobcenter,bund,"""Arbeit und Soziales""",,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales
