id,name,email,contact,address,url,classification,jurisdiction__slug,tags,other_names,website_dump,description,request_note,parent__name
6614,Abendschule Bremerhaven,abend@schule.bremerhaven.de,"Tel.: 0471 3913600
Fax: 0471 3913603","Sonnenstraße 22
27568 Bremerhaven",http://www.abendschule-bremerhaven.de/,Amt,bremen,"""Bildung und Forschung""",,,,,
3780,Abgeordnetenhaus von Berlin,internetredaktion@parlament-berlin.de,,,http://www.parlament-berlin.de/,Abgeordnetenhaus,berlin,,agh,,,,
2,Absatzförderungsfonds der deutschen Forst- und Holzwirtschaft - Holzabsatzfonds,info@holzabsatzfonds.de,"Godesberger Allee 142 - 148
53175 Bonn, Nordrhein-Westfalen
Deutschland
Telefon: 
+49 228 30838-0
Fax: 
+49 228 30838-30
info@holzabsatzfonds.de","Hauptadresse
Godesberger Allee 142 - 148
53175 Bonn, Nordrhein-Westfalen
Deutschland
Telefon: 
+49 228 30838-0
Fax: 
+49 228 30838-30
info@holzabsatzfonds.de",http://www.holzabsatzfonds.de,Andere,bund,Landwirtschaft,,"Absatzförderungsfonds der deutschen Forstwirtschaft und Holzwirtschaft,  Holzabsatzfonds, Absatzfonds, Fonds","Zentrale Marketingeinrichtung der deutschen Forst- und Holzwirtschaft. Zu den Aufgaben des HAF gehört es, neue Märkte im In- und Ausland zu erschließen. Zu den wesentlichen Marketinginstrumenten zählen neben der Werbung und Öffentlichkeitsarbeit, der Markt- und Marketingforschung, die Holzbaufachberatung und die Forschung.

Siehe http://www.bund.de/DE/Behoerden/A/Absatzfonds-Holz-und-Forstwirtschaft/Absatzfoerderungsfonds-der-deutschen-Forst-und-Holzwirtschaft-Holzabsatzfonds.html",,Bundesministerium für Ernährung und Landwirtschaft
3,Absatzförderungsfonds der deutschen Land- und Ernährungswirtschaft - Absatzfonds,info@absatzfonds.de,"Schwertberger Straße 14
53177 Bonn, Nordrhein-Westfalen
Deutschland
Postanschrift:
Postfach 20 01 16,  53131 Bonn
Telefon: 
+49 228 52098-0
Fax: 
+49 228 52098-55
info@absatzfonds.de","Hauptadresse
Schwertberger Straße 14
53177 Bonn, Nordrhein-Westfalen
Deutschland
Postanschrift:
Postfach 20 01 16,  53131 Bonn
Telefon: 
+49 228 52098-0
Fax: 
+49 228 52098-55
info@absatzfonds.de",http://www.absatzfonds.de,Andere,bund,Landwirtschaft,,"Absatzförderungsfonds der deutschen Landwirtschaft und Ernährungswirtschaft, Absatzfonds, Fonds","Zentrale Einrichtung zur Förderung des Absatzes und der Verwertung von Erzeugnissen der deutschen Land- und Ernährungswirtschaft. Die Fonds bedienen sich hierzu zweier Durchführungsgesellschaften, der CMA (Centrale Marketing-Gesellschaft der deutschen Agrarwirtschaft mbH) und der ZPM (Zentrale Markt- und Preisberichtstelle für Erzeugnisse der Land-, Forst und Ernährungswirtschaft GmbH).

Siehe http://www.bund.de/DE/Behoerden/A/Absatzfonds-Land-und-Ernaehrungswirtschaft/Absatzfoerderungsfonds-der-deutschen-Land-und-Ernaehrungswirtschaft-Absatzfonds.html",,Bundesministerium für Ernährung und Landwirtschaft
4,Abschlussprüferaufsichtskommission,tim.volkmann@apak-aoc.de,"Rauchstraße 26
10787 Berlin, Berlin
Deutschland
Telefon: 
+49 30 726161-200
Fax: 
+49 30 726161-210
tim.volkmann@apak-aoc.de","Hauptadresse
Rauchstraße 26
10787 Berlin, Berlin
Deutschland
Telefon: 
+49 30 726161-200
Fax: 
+49 30 726161-210
tim.volkmann@apak-aoc.de",http://www.apak-aoc.de,Andere,bund,Wirtschaft,,"Abschlussprüferaufsichtskommision, Prüferkommission, Aufsichtskommission, Abschlussprüfer, Wirtschaftsprüferkammer",,,Bundesministerium für Wirtschaft und Energie
3781,Abwasserverband der Fahrgastschifffahrt von Berlin,gersbeck@schiffsservice.de,"Schiffsservice Berlin
Ingo Gersbeck
Spandauer Burgwall 23
13581 Berlin
Telefon: (030) 3315017
Fax: (030) 3325333",,,Verband,berlin,Umwelt,,,,,
6573,actimonda BKK,info@actimonda.de,Tel. 0241 / 90066-0 Fax: 0241 / 90066-9-100,Hüttenstr. 1 52068 Aachen,http://www.actimonda.de,Körperschaft des öffentlichen Rechts,bund,"Gesundheit, Krankenkasse",,,,,Bundesversicherungsamt
6739,AFZ - Aus- und Fortbildungszentrum der Freien Hansestadt Bremen,petra.rotermund@afz.bremen.de,"Tel.: (0421) 361 5334
Fax: (0421) 361 5173 ","Doventorscontrescarpe 172
28195 Bremen",http://www.afz.bremen.de,Amt,bremen,,,,,,
14254,Agentur für Arbeit Aachen – Düren,aachen-dueren@arbeitsagentur.de,,"Roermonder Str. 51, 52072 Aachen",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14255,Agentur für Arbeit Aalen,aalen@arbeitsagentur.de,,"Julius-Bausch-Str. 12, 73430 Aalen",,arbeitsagentur,bund,"""Arbeit und Soziales""",baden-wurttemberg,,,,Bundesministerium für Arbeit und Soziales
14256,Agentur für Arbeit Ahlen – Münster,ahlen-muenster@arbeitsagentur.de,,"Martin-Luther-King-Weg 18-24, 48155 Münster",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14257,Agentur für Arbeit Altenburg – Gera,altenburg-gera@arbeitsagentur.de,,"Reichsstr. 15, 07545 Gera",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen-anhalt/thueringen,,,,Bundesministerium für Arbeit und Soziales
14258,Agentur für Arbeit Annaberg-Buchholz,annaberg-buchholz@arbeitsagentur.de,,"Paulus-Jenisius-Str. 43, 09456 Annaberg-Buchholz",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen,,,,Bundesministerium für Arbeit und Soziales
14259,Agentur für Arbeit Ansbach – Weißenburg,ansbach-weissenburg@arbeitsagentur.de,,"Schalkhäuser Str. 40, 91522 Ansbach",,arbeitsagentur,bund,"""Arbeit und Soziales""",bayern,,,,Bundesministerium für Arbeit und Soziales
11074,Agentur für Arbeit Aschaffenburg,aschaffenburg@arbeitsagentur.de,Tel:+49 (0)6021 390-0 Fax:+49 (0)6021 390-263,Memeler Str. 15 63739 Aschaffenburg,http://www.arbeitsagentur.de/web/content/71501,arbeitsagentur,bund,"""Arbeit und Soziales""",,,,,Bundesministerium für Arbeit und Soziales
11075,Agentur für Arbeit Augsburg,augsburg@arbeitsagentur.de,Tel:+49 (0)821 3151-0 Fax:+49 (0)821 3151-499,Wertachstr. 28 86153 Augsburg,http://www.arbeitsagentur.de/web/content/81101,arbeitsagentur,bund,,,,,,Bundesministerium für Arbeit und Soziales
14260,Agentur für Arbeit Bad Hersfeld – Fulda,bad-hersfeld-fulda@arbeitsagentur.de,,"Rangstr. 4, 36037 Fulda",,arbeitsagentur,bund,"""Arbeit und Soziales""",hessen,,,,Bundesministerium für Arbeit und Soziales
14261,Agentur für Arbeit Bad Homburg,bad-homburg@arbeitsagentur.de,,"Ober-Eschbacher Str. 109, 61352 Bad Homburg",,arbeitsagentur,bund,"""Arbeit und Soziales""",hessen,,,,Bundesministerium für Arbeit und Soziales
14262,Agentur für Arbeit Bad Kreuznach,bad-kreuznach@arbeitsagentur.de,,"Bosenheimer Str. 16, 55543 Bad Kreuznach",,arbeitsagentur,bund,"""Arbeit und Soziales""",rheinland-pfalz,,,,Bundesministerium für Arbeit und Soziales
14263,Agentur für Arbeit Bad Oldeslohe,bad-oldeslohe@arbeitsagentur.de,,"Berliner Ring 8 - 10, 23843 Bad Oldesloe",,arbeitsagentur,bund,"""Arbeit und Soziales""",schleswig-holstein,,,,Bundesministerium für Arbeit und Soziales
14264,Agentur für Arbeit Balingen,balingen@arbeitsagentur.de,,"Stingstr. 17, 72336 Balingen",,arbeitsagentur,bund,"""Arbeit und Soziales""",baden-wurttemberg,,,,Bundesministerium für Arbeit und Soziales
11076,Agentur für Arbeit Bamberg-Coburg,bamberg-coburg@arbeitsagentur.de,Tel:+49 (0)9561 93-0 Fax:+49 (0)9561 93-283,Kanonenweg 25 96450 Coburg,http://www.arbeitsagentur.de/web/content/72701,arbeitsagentur,bund,"""Arbeit und Soziales""",,,,,Bundesministerium für Arbeit und Soziales
14265,Agentur für Arbeit Bautzen,bautzen@arbeitsagentur.de,,"Neusalzaer Str. 2, 02625 Bautzen",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen,,,,Bundesministerium für Arbeit und Soziales
11077,Agentur für Arbeit Bayreuth-Hof,bayreuth-hof@arbeitsagentur.de,Tel:+49 (0)9281 785-0 Fax:+49 (0)9281 785-380,Äußere Bayreuther Str. 2 95032 Hof,http://www.arbeitsagentur.de/web/content/72301,arbeitsagentur,bund,"""Arbeit und Soziales""",,,,,Bundesministerium für Arbeit und Soziales
14266,Agentur für Arbeit Bergisch Gladbach,bergisch-gladbach@arbeitsagentur.de,,"Bensberger Str. 85, 51465 Bergisch Gladbach",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
14252,Agentur für Arbeit Berlin Mitte,berlin-mitte@arbeitsagentur.de,,"Charlottenstr. 90, 10969 Berlin",,arbeitsagentur,bund,"""Arbeit und Soziales""",berlin,,,,Bundesministerium für Arbeit und Soziales
14267,Agentur für Arbeit Berlin Nord,berlin-nord@arbeitsagentur.de,,"Königin-Elisabeth-Str. 49, 14059 Berlin",,arbeitsagentur,bund,"""Arbeit und Soziales""",berlin,,,,Bundesministerium für Arbeit und Soziales
14253,Agentur für Arbeit Berlin Süd,berlin-sued@arbeitsagentur.de,,"Sonnenallee 282, 12057 Berlin",,arbeitsagentur,bund,"""Arbeit und Soziales""",berlin,,,,Bundesministerium für Arbeit und Soziales
14268,Agentur für Arbeit Bernburg,bernburg@arbeitsagentur.de,,"Kalistraße 11, 06406 Bernburg",,arbeitsagentur,bund,"""Arbeit und Soziales""",sachsen-anhalt/thueringen,,,,Bundesministerium für Arbeit und Soziales
14269,Agentur für Arbeit Bielefeld,bielefeld@arbeitsagentur.de,,"Werner-Bock-Str. 8, 33602 Bielefeld",,arbeitsagentur,bund,"""Arbeit und Soziales""",nrw,,,,Bundesministerium für Arbeit und Soziales
5768,Agentur für Arbeit Blieskastel,blieskastel@arbeitsagentur.de,"Tel.: 01801/555111 (Arbeitnehmer)
01801/664466 (Arbeitgeber)
Festnetzpreis 3,9 ct/min;
Mobilfunkpreis höchsten 42 ct/min
Fax: 06842/922950","Hafenstraße 18
66111 Saarbrücken",http://www.arbeitsagentur.de/nn_16384/Partner/RD-RPS/Saarbruecken/55503-Geschaeftsstelle-Blieskastel.html,arbeitsagentur,bund,,,,,,Bundesministerium für Arbeit und Soziales
