id,name,email,contact,address,url,classification,jurisdiction__slug,tags,other_names,website_dump,description,request_note,parent__name,,,
,Landesregulierungsbehörde Baden-Würrtemberg,LRegB@um.bwl.de,,Kernerplatz 9 70182 Stuttgart,https://www.versorger-bw.de/landesregulierungsbehoerde/ueberblick-landesregulierungsbehoerde-lregb.html,,baden-wurttemberg,,,,,,,,,
,Regulierungskammer des Freistaates Bayern,geschaeftsstelle@regk.bayern.de,,Prinzregentenstr. 28 80538 München,https://www.regulierungskammer-bayern.de/,,bayern,,,,,,,,,
,Landesregulierungsbehörde Brandenburg,Landesregulierungsbehoerde@mwe.brandenburg.de,,Heinrich-Mann-Allee 107 14473 Potsdam,http://www.mwe.brandenburg.de/sixcms/detail.php/bb2.c.455186.de,,brandenburg,,,,,,,,,
,Regulierungskammer Hessen,landesregulierungsbehoerde@wirtschaft.hessen.de,,Kaiser-Friedrich-Ring 75 65185 Wiesbaden,https://landesregulierungsbehoerde.hessen.de/,,hessen,,,,,,,,,
,Regulierungskammer Mecklenburg-Vorpommern,info@regulierungskammer-mv.de,,Schloßstraße 6-8 19053 Schwerin,http://www.regulierungskammer-mv.de/,,mecklenburg-vorpommern,,,,,,,,,
,Regulierungskammer Niedersachsen,regulierungskammer@mu.niedersachsen.de,,Postfach 4107 30041 Hannover,http://www.regulierung.niedersachsen.de/startseite/,,niedersachsen,,,,,,,,,
,"Regulierungskammer Nordrhein-Westfalen im Ministerium für Wirtschaft, Energie, Industrie, Mittelstand und Handwerk des Landes NRW",info@regulierungskammer.nrw.de,,Berger Allee 25 40213 Düsseldorf,www.mweimh.nrw.de/energie/landesregulierungskammer/index.php,,nrw,,,,,,,,,
,Regulierungskammer Rheinland-Pfalz,info@regulierungskammer.rlp.de,,Kaiser-Friedrich-Str. 1 55116 Mainz,http://regulierungskammer.rlp.de/de/startseite/,,rheinland-pfalz,,,,,,,,,
,Regulierungskammer für das Saarland,regulierungskammer@wirtschaft.saarland.de,,Franz-Josef-Röder-Str. 17 66119 Saarbrücken,http://www.saarland.de/regulierungskammer.htm,,saarland,,,,,,,,,
,"Landesregulierungsbehörde Sachsen im Staatsministerium für Wirtschaft, Arbeit und Verkehr",raimund.huber@smwa.sachsen.de,,Postfach 100329 1073 Dresden,www.smwa.sachsen.de/288.htm,,sachsen,,,,,,,,,"Frankenstraße 210 90461 Nürnberg, Freistaat Bayern Deutschland Telefon: +49 911 943-0 Fax: +49 911 943-1000 info@bamf.de Außenstelle M 12 - Berlin Askanierring 106 13587 Berlin, Berlin Deutschland Telefon: +49 30 35582-0 Fax: +49 30 35582-199 M12Posteingang@bamf.bund.de Außenstelle M 22 - Bielefeld Am Stadtholz 24 33609 Bielefeld, Nordrhein-Westfalen Deutschland Telefon: +49 521 9316-0 Fax: +49 521 9316-199 M22Posteingang@bamf.bund.de Außenstelle M19 - Braunschweig Boeselagerstraße 4 Gebäude: U 3 38108 Braunschweig, Niedersachsen Deutschland Telefon: +49 531 3545-0 Fax: +49 531 3545-199 M19Posteingang@bamf.bund.de Außenstelle M 17 - Bremen Steinsetzer Straße 14 28279 Bremen, Freie Hansestadt Bremen Deutschland Telefon: +49 421 8391-0 Fax: +49 421 8391-199 M17Posteingang@bamf.bund.de Außenstelle M11 - Chemnitz Adalbert-Stifter-Weg 25 09131 Chemnitz, Freistaat Sachsen Deutschland Telefon: +49 371 4901-0 Fax: +49 371 4901-199 M11Posteingang@bamf.bund.de Dezentrales Referat Dortmund (Referat 431) Huckarder Straße 91 44147 Dortmund, Nordrhein-Westfalen Deutschland Telefon: +49 231 9058-0 Fax: +49 231 9058-199 Ref431Posteingang@bamf.bund.de Außenstelle M 21 - Düsseldorf Erkrather Straße 349 40231 Düsseldorf, Nordrhein-Westfalen Deutschland Telefon: +49 211 9863-0 Fax: +49 211 9863-199 M21Posteingang@bamf.bund.de Außenstelle M 13 - Eisenhüttenstadt Poststraße 72 15890 Eisenhüttenstadt, Brandenburg Deutschland Telefon: +49 3364 492-0 Fax: +49 3364 492-199 M13Posteingang@bamf.bund.de Außenstelle M 8 - Frankfurt-Flughafen Frankfurt-Flughafen Gebäude: 587 C 60549 Frankfurt am Main, Hessen Deutschland Telefon: +49 69 69813-0 Fax: +49 69 69813-199 M8Posteingang@bamf.bund.de Außenstelle M 9 - Gießen Meisenbornweg 11 35398 Gießen, Hessen Deutschland Telefon: +49 641 9763-0 Fax: +49 641 9763-199 M9Posteingang@bamf.bund.de Außenstelle M 3 - Halberstadt Friedrich-List-Straße 3 38820 Halberstadt, Sachsen-Anhalt Deutschland Telefon: +49 3941 676-0 Fax: +49 3941 676-199 M3Posteingang@bamf.bund.de Außenstelle M 14 - Hamburg Sachsenstraße 12 u. 14 Gebäude: Concordiahaus B 20097 Hamburg, Freie und Hansestadt Hamburg Deutschland Telefon: +49 40 23501-0 Fax: +49 40 23501-199 M14Posteingang@bamf.bund.de Außenstelle M 10 - Jena / Hermsdorf Am Rasthof 2 07629 Hermsdorf, Freistaat Thüringen Deutschland Telefon: +49 36601 9336-0 Fax: +49 36601 9336-199 M10Posteingang@bamf.bund.de Außenstelle M 4 - Karlsruhe Durlacher Allee 100 76137 Karlsruhe, Baden-Württemberg Deutschland Telefon: +49 721 9653-0 Fax: +49 721 9653-199 M4Posteingang@bamf.bund.de Dezentrales Referat Köln (Referat 324) Blaubach 13 50676 Köln, Nordrhein-Westfalen Deutschland Telefon: +49 221 92426-0 Fax: +49 221 92426-199 Ref324Posteingang@bamf.bund.de Außenstelle M6 - Lebach Schlesierallee 17 66822 Lebach, Saarland Deutschland Telefon: +49 6881 926-0 Fax: +49 6881 926-199 M6Posteingang@bamf.bund.de Außenstelle M 15 - Lübeck Vorwerker Straße 103 Gebäude: Travekaserne 23554 Lübeck, Schleswig-Holstein Deutschland Telefon: +49 451 4006-0 Fax: +49 451 4006-199 M15Posteingang@bamf.bund.de Außenstelle M 2 - München Boschetsrieder Straße 41 81379 München, Freistaat Bayern Deutschland Telefon: +49 89 62029-0 Fax: +49 89 62029-199 M2Posteingang@bamf.bund.de Außenstelle M 16 - Nostorf-Horst Nostorfer Straße 1 19258 Nostorf-Horst, Mecklenburg-Vorpommern Deutschland Telefon: +49 38847 20-0 Fax: +49 38847 20-199 M16Posteingang@bamf.bund.de Außenstelle M 18 - Oldenburg Klostermark 70 - 80 26135 Oldenburg, Niedersachsen Deutschland Telefon: +49 441 2060-0 Fax: +49 441 2060-199 M18Posteingang@bamf.bund.de Außenstelle M 5 - Reutlingen/Eningen u. A. Arbachtalstraße 6 Gebäude: 72800 Eningen unter Achalm, Baden-Württemberg Deutschland Telefon: +49 7121 2417-0 Fax: +49 7121 2417-199 M5Posteingang@bamf.bund.de Außenstelle M 7 - Trier Dasbach Straße 15 b 54292 Trier, Rheinland-Pfalz Deutschland Telefon: +49 651 1463-0 Fax: +49 651 1463-199 M7Posteingang@bamf.bund.de Dezentrales Referat Würzburg (Referat 335) Veitshöchheimer Straße 100 Gebäude: Emery-Kaserne 97080 Würzburg, Freistaat Bayern Deutschland Telefon: +49 931 9807-0 Fax: +49 931 9807-199 Ref335Posteingang@bamf.bund.de Außenstelle M 1 - Zirndorf Rothenburger Straße 29 90513 Zirndorf, Freistaat Bayern Deutschland Telefon: +49 911 943-0 Fax: +49 911 943-3499 M1Posteingang@bamf.bund.de"
,"Landesregulierungsbehörde des Freistaates Thüringen im Ministerium für Umwelt, Energie und Naturschutz",poststelle@tmuen.thueringen.de,,Postfach 900365 99106 Erfurt,http://www.thueringen.de/th8/tmuen/energie/aufsicht/,,thueringen,,,,,,,,,
