id,name,email,contact,address,url,classification,jurisdiction__slug,tags,other_names,website_dump,description,request_note,parent__name
,Westdeutsche Lotterie GmbH & Co. OHG,info@westlotto.com,,,,Lotto,nrw,,,,,,
,Sächsische LOTTO-GmbH,service@sachsenlotto.de,,,,Lotto,sachsen,,,,,,
,Staatlichen Toto-Lotto GmbH Baden-Württemberg,kundenservice@lotto-bw.de,,,,Lotto,baden-wurttemberg,,,,,,
,LAND BRANDENBURG LOTTO GmbH,zentrale@lotto-brandenburg.de,,,,Lotto,brandenburg,,,,,,
,Lotterie-Treuhandgesellschaft mbH Hessen,kundenservice@lotto-hessen.de,,,,Lotto,hessen,,,,,,
,LOTTO Hamburg GmbH,service@lotto-hh.de,,,,Lotto,hamburg,,,,,,
,Lotterie-Treuhandgesellschaft mbH Thüringen,internetspiel@lotto-thueringen.de,,,,Lotto,thueringen,,,,,,
,Saarland-Sporttoto GmbH,info@saartoto.de,,,,Lotto,saarland,,,,,,
,Bremer Toto und Lotto GmbH,service@lotto-bremen.de,,,,Lotto,bremen,,,,,,
,Lotto-Toto GmbH Sachsen-Anhalt,zentrale@sachsen-anhalt-lotto.de,,,,Lotto,sachsen-anhalt,,,,,,
,Toto-Lotto Niedersachsen GmbH,info@lotto-niedersachsen.de,,,,Lotto,niedersachsen,,,,,,
,NordwestLotto Schleswig-Holstein GmbH & Co. KG,info@nordwestlotto.de,,,,Lotto,schleswig-holstein,,,,,,
,Verwaltungsgesellschaft Lotto und Toto in Mecklenburg-Vorpommern mbH,gf@lottomv.de,,,,Lotto,mecklenburg-vorpommern,,,,,,
