id,name,email,contact,address,url,classification,jurisdiction__slug,tags,website_dump,other_names,parent__name,description,request_note
4127,Jobcenter Landkreis Oberhavel,ALG2-Service@oberhavel.de,"Tel: 03301 / 6015218
Tel: 03301 / 6 01 - 51 02
Fax: 03301 / 6 01 - 51 09","Adolf- Dechert- Str. 1, 16515 Oranienburg",http://www.oberhavel.de,jobcenter,brandenburg,"""Arbeit und Soziales""",Neuruppin,brandenburg,Bundesministerium für Arbeit und Soziales,,
11953,Jobcenter Stadt Schweinfurt,amt53@schweinfurt.de,Tel:+49 (0)9721 51-9899 Fax:+49 (0)9721 51-8899899,"Friedrich-Rückert-Bau, Martin-Luther-Platz 20, 97421 Schweinfurt",http://www.schweinfurt.de/wirtschaft-wissenschaft/jobcenter/index.html,jobcenter,schweinfurt,"""Arbeit und Soziales""",Schweinfurt,bayern,Bundesministerium für Arbeit und Soziales,,
4293,job-com Jobcenter Düren,amt56@kreis-dueren.de," 02421 22-17000
02421 22-17051 ","Bismarkstr. 16
52351 Düren",,jobcenter,nrw,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Landkreis Fulda,amt-fuer-arbeit-und-soziales@landkreis-fulda.de,,"Robert-Kircher-Str. 24, 36037 Fulda",,jobcenter,hessen,"""Arbeit und Soziales""",Fulda,hessen,Bundesministerium für Arbeit und Soziales,,
4326,Jobcenter Kreis Warendorf,Amtsleitung-Jobcenter@kreis-warendorf.de,"Tel: 0 25 81 / 530
Fax: 0 25 81 / 53 56 76","Bismarckstr. 10, 59229 Ahlen",http://www.jobcenter-warendorf.de,jobcenter,nrw,"""Arbeit und Soziales""",Ahlen,nrw,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Ortenaukreis,arbeitsfoerderung@ortenaukreis.de,,"Lange Str. 51, 77652 Offenburg",,jobcenter,baden-wurttemberg,"""Arbeit und Soziales""",Offenburg,baden-wuerttemberg,Bundesministerium für Arbeit und Soziales,,
,Jobcenter Verden Diepholz Nienburg,arbeit-verden@landkreis-verden.de,,"Lindhooper Str. 6, 27283 Verden",,jobcenter,niedersachsen,"""Arbeit und Soziales""",Verden,Niedersachsen,Bundesministerium für Arbeit und Soziales,,
11074,Agentur für Arbeit Aschaffenburg,aschaffenburg@arbeitsagentur.de,Tel:+49 (0)6021 390-0 Fax:+49 (0)6021 390-263,Memeler Str. 15 63739 Aschaffenburg,http://www.arbeitsagentur.de/web/content/71501,arbeitsagentur,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
11075,Agentur für Arbeit Augsburg,augsburg@arbeitsagentur.de,Tel:+49 (0)821 3151-0 Fax:+49 (0)821 3151-499,Wertachstr. 28 86153 Augsburg,http://www.arbeitsagentur.de/web/content/81101,arbeitsagentur,bund,,,,Bundesministerium für Arbeit und Soziales,,
251,Bundesagentur für Arbeit - Regionaldirektion Baden-Württemberg,Baden-Wuerttemberg@arbeitsagentur.de,"Hölderlinstraße 36
70174 Stuttgart, Baden-Württemberg
Deutschland
Postanschrift:
Postfach 10 29 52, 70025 Stuttgart
Telefon: 
+49 711 941-0
Fax: 
+49 711 941-1640
Baden-Wuerttemberg@arbeitsagentur.de","Hauptadresse
Hölderlinstraße 36
70174 Stuttgart, Baden-Württemberg
Deutschland
Postanschrift:
Postfach 10 29 52, 70025 Stuttgart
Telefon: 
+49 711 941-0
Fax: 
+49 711 941-1640
Baden-Wuerttemberg@arbeitsagentur.de",http://www.arbeitsagentur.de,Obere Bundesbehörde,bund,"""Arbeit und Soziales""",,"Bundesagentur für Arbeit, Regionaldirektion Baden Württemberg, BA, Arbeitsvermittlung, Arbeitsagentur, Arbeitslosengeld, Jobvermittlung",Bundesministerium für Arbeit und Soziales,,Bundesministerium für Arbeit und Soziales
9027,Regionaldirektion Baden-Württemberg der Bundesagentur für Arbeit,baden-wuerttemberg@arbeitsagentur.de,"Telefon: 0711/941-0, Fax: 0711/941-1640",Hölderlinstraße 3670174 Stuttgart,http://www.arbeitsagentur.de/web/content/DE/service/Ueberuns/Regionaldirektionen/BadenWuerttemberg/Regionalinformationen/Detail/index.htm?dfContentId=L6019022DSTBAI402707,,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
11076,Agentur für Arbeit Bamberg-Coburg,bamberg-coburg@arbeitsagentur.de,Tel:+49 (0)9561 93-0 Fax:+49 (0)9561 93-283,Kanonenweg 25 96450 Coburg,http://www.arbeitsagentur.de/web/content/72701,arbeitsagentur,bund,"""Arbeit und Soziales""",,,Bundesministerium für Arbeit und Soziales,,
